1,Afghanistan
2,Afrotropical
3,Alabama
4,Albania
5,Alberta
6,Algeria
7,Andorra
8,Angola
9,Antigua and Barbuda
10,Argentina
11,Arizona
12,Armenia
13,Australasian
14,Australia
15,Australia  Australasian
16,Austria
17,Azerbaijan
18,Bahamas
19,Bahrain
20,Bangladesh
21,Barbados
22,Belarus
23,Belarus  Palearctic
24,Belgium
25,Belize
26,Benin
27,Bhutan
28,Bolivia
29,Bolivia  Neotropical
30,Bosnia and Herzegovina
31,Botswana
32,Brazil
33,Brazil  Neotropical
34,British Columbia
35,Brunei
36,Bulgaria
37,Burkina Faso
38,Burundi
39,California
40,Cambodia
41,Cameroon
42,Canada
43,Cape Verde
44,Cayman Islands
45,Central African Republic
46,Chad
47,Chile
48,Chile  French Polynesia
49,China
50,Colombia
51,Colombia  Neotropical
52,Comoros
53,Republic of the Congo
54,Costa Rica
55,Cote d'Ivoire
56,Croatia
57,Cuba
58,Cuba  Neotropical
59,Cyprus
60,Czech Republic
61,Democratic Republic of the Congo
62,Denmark
63,Djibouti
64,Dominica
65,Dominica  Neotropical
66,Dominican Republic
67,Dominican Republic  Neotropical
68,Ecuador
69,Ecuador   Neotropical
70,Egypt
71,El Salvador
72,Equatorial Guinea
73,Eritrea
74,Estonia
75,Eswatini
76,Ethiopia
77,Faroe Islands
78,Federated States of Micronesia
79,Fiji
80,Finland
81,France
82,French Guiana
83,Gabon
84,Gabon  Afrotropical
85,Gambia
86,Georgia
87,Germany
88,Ghana
89,Greece
90,Grenada
91,Guadeloupe
92,Guatemala
93,Guinea
94,Guinea-Bissau
95,Guyana
96,Haiti
97,Honduras
98,Hong Kong
99,Hungary
100,Iceland
101,India
102,India   Karnataka
103,India  Indomalayan
104,Indomalayan
105,Indonesia
106,Indonesia  Australasian
107,Indonesia  Indomalayan
108,Indonesia  Jawa
109,Indonesia  Sulawesi
110,Iran
111,Iraq
112,Ireland
113,Israel
114,Italy
115,Jamaica
116,Japan
117,Japan  Pacific Ocean
118,Jordan
119,Kansas
120,Karnataka
121,Kazakhstan
122,Kenya
123,Kerala
124,Kiribati
125,Kuwait
126,Kyrgyzstan
127,Labrador
128,Laos
129,Latvia
130,Lebanon
131,Lesotho
132,Liberia
133,Libya
134,Liechtenstein
135,Lithuania
136,Luxembourg
137,Macao
138,Macedonia
139,Madagascar
140,Madagascar  Afrotropical
141,Malawi
142,Malaysia
143,Maldives
144,Mali
145,Malta
146,Manitoba
147,Marshall Islands
148,Mauritania
149,Mauritius
150,Mexico
151,Mexico  Germany
152,Mexico  Neotropical
153,Mexico  Puerto Rico
154,Moldova
155,Monaco
156,Mongolia
157,Mongolia  Palearctic
158,Montenegro
159,Morocco
160,Morocco  Palearctic
161,Mozambique
162,Myanmar
163,Myanmar  Indomalayan
164,Namibia
165,Namibia  Afrotropical
166,Nauru
167,Nearctic
168,Neotropical
169,Nepal
170,Netherlands
171,Nevada
172,New Brunswick
173,New Mexico
174,New Zealand
175,Newfoundland
176,Newfoundland I
177,Nicaragua
178,Nicaragua   Neotropical
179,Nicaragua  Neotropical
180,Niger
181,Nigeria
182,Nigeria  Afrotropical
183,Nigeria  Bioko
184,North Dakota
185,North Korea
186,Northern Mariana Islands
187,Northwest Territories
188,Norway
189,Nova Scotia
190,Oklahoma
191,Oman
192,Ontario
193,Pakistan
194,Pakistan  Indomalayan
195,Palau
196,Palearctic
197,Palestine
198,Panama
199,Panama  Neotropical
200,Papua New Guinea
201,Paraguay
202,Paraguay  Neotropical
203,Peru
204,Peru  Amazonas
205,Peru  Neotropical
206,Philippines
207,Pitcairn
208,Poland
209,Portugal
210,Qatar
211,Québec
212,Romania
213,Russia
214,Rwanda
215,Saint Kitts and Nevis
216,Saint Lucia
217,Saint Pierre and Miquelon
218,Saint Vincent and the Grenadines
219,Samoa
220,San Marino
221,Saskatchewan
222,Saudi Arabia
223,Senegal
224,Serbia
225,Seychelles
226,Sierra Leone
227,Sierra Leone  Afrotropical
228,Singapore
229,Slovakia
230,Slovenia
231,Solomon Islands
232,Somalia
233,Somalia  Afrotropical
234,South Africa
235,South Dakota
236,South Korea
237,South Sudan
238,Spain
239,Sri Lanka
240,Sudan
241,Suriname
242,Suriname  United States
243,Swaziland
244,Sweden
245,Switzerland
246,Syria
247,Syria  Palearctic
248,Taiwan
249,Tajikistan
250,Tamil Nadu
251,United Republic of Tanzania
252,Texas
253,Thailand
254,Timor-Leste
255,Togo
256,Tonga
257,Trinidad and Tobago
258,Tunisia
259,Tunisia  Gibraltar
260,Turkey
261,Turkey  Palearctic
262,Turkmenistan
263,U.S. Minor Outlying Islands
264,Uganda
265,Uganda  Afrotropical
266,Ukraine
267,United Arab Emirates
268,United Kingdom
269,United States of America
270,United States   Nearctic
271,United States  Alberta
272,United States  Arizona
273,United States  British Columbia
274,United States  Nearctic
275,United States  Nebraska
276,United States  Neotropical
277,United States  New Brunswick
278,United 
279,Uruguay
280,Uruguay  Falkland Islands
281,Uruguay  Neotropical
282,Utah
283,Uzbekistan
284,Vanuatu
285,Venezuela
286,Venezuela  Falkland Islands
287,Venezuela  French Guiana
288,Venezuela  Neotropical
289,Viet Nam
290,Viet Nam  Indomalayan
291,Viet Nam  Palearctic
292,Western Australia
293,Western Sahara
294,Wyoming
295,Yemen
296,Zambia
297,Zimbabwe
298,Zimbabwe  Eswatini
